"y","-2","5"
"h","1","2"
"w","3","-4"
"z","3","5"
"f","-5","-3"
"o","4","2"
"f","1","-1"
"h","-3","3"
"i","4","-3"
"k","5","5"
"d","3","-2"
"x","3","-2"
"w","-2","5"
"v","-5","-2"
"p","3","-4"
"e","2","-4"
"v","-3","-2"
"b","5","-1"
"s","-1","0"
"w","2","0"
"g","3","5"
"e","0","3"
"n","-1","3"
"g","1","3"
"o","-3","4"
"i","-1","-3"
"j","-2","5"
"t","3","1"
"g","-2","5"
"z","-1","2"
"w","1","2"
"k","-2","-1"
"k","-3","-4"
"k","1","2"
"f","5","0"
"s","-1","1"
"y","-5","-2"
"c","-3","-3"
"d","5","0"
"u","1","4"
"q","5","-3"
"k","-4","-5"
"p","1","-1"
"n","-5","-1"
"h","-1","5"
"t","-4","-3"
"s","5","-2"
"z","2","3"
"l","-4","-3"
"e","-3","-4"
"f","4","2"
"e","-2","-3"
"a","4","3"
"w","-5","-1"
"x","1","-3"
"n","3","0"
"g","0","-3"
"f","0","-5"
"v","-3","4"
"y","5","1"
"o","0","-1"
"n","-5","2"
"q","-2","-3"
"r","0","1"
"k","0","1"
"v","0","3"
"n","-5","-4"
"h","3","5"
"x","4","-4"
"h","-3","0"
"w","-1","-5"
"y","0","0"
"m","5","-2"
"l","-4","1"
"w","1","-4"
"s","-5","2"
"x","-2","2"
"s","1","2"
"v","-2","1"
"e","1","1"
"x","4","-2"
"j","5","-3"
"l","4","1"
"l","5","-2"
"h","4","3"
"e","-2","3"
"e","-3","-1"
"s","1","5"
"q","-1","-5"
"w","3","4"
"h","-5","4"
"e","1","4"
"m","-3","2"
"z","-4","-2"
"e","4","-3"
"r","-5","1"
"g","2","-2"
"e","1","-2"
"x","4","2"
"n","-1","-4"
"c","1","-3"
"r","-2","-3"
"c","-2","5"
"h","-4","0"
"u","1","-3"
"g","-1","0"
"y","4","-2"
"z","0","-5"
"x","4","-5"
"a","0","-1"
"u","2","2"
"x","-5","-3"
"b","-1","5"
"f","-3","0"
"d","0","-4"
